"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-android_500","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_60","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_74_win10","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_79_win10","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_66_win81","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_71_win10","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_6_xp","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.2 DHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_win81","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.2 DHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_winphone81","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA256","",""
"clientsimulation-ie_11_win10","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_17_win10","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-opera_66_win10","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_9_ios9","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-safari_9_osx1011","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-safari_10_osx1012","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-safari_121_ios_122","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_130_osx_10146","octopus.igloo.fabnum.fr/51.159.27.6","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
